No.,Object designation,Diameter,Impact date/time in UTC,IP,Close years
730,2021TX2,30,2115-10-18 16:25,0.0000989195843108876,2115
732,2018WJ,10,2045-11-17 22:13,0.0138745528466593,2045
735,2020TF6,11,2056-10-20 06:26,1,2056
736,2022GF17,16,2121-04-06 05:27,0.303278075786418,2065
738,2017DW119,16,2067-01-17 16:16,0.0284399318117886,2029
739,2022SL4,23,2118-09-10 21:51,0.00198840730548176,2118
740,2001YN2,40,2079-12-16 04:55,0.0207088156494605,2079
745,2001HJ31,60,2122-04-12 03:10,0.00635227743236995,2119
747,2016AU193,30,2109-12-31 16:10,0.583490395262134,2109
748,2018WH,4,2089-11-16 03:40,0.000032,2053
751,2021XP2,27,2081-12-05 15:09,0.00014358576229273,2081
752,2016UB26,40,2066-03-14 10:41,0.0010337634437387,2066
757,2017HJ61,6,2029-04-22 20:41,0.0951545823995921,2029
759,2022GP,19,2103-04-11 03:50,0.00241559497640104,2087
760,2019WF24,10,2061-11-21 11:49,0.3898385917402,2061
761,2021UW1,21,2104-11-01 08:46,0.00282299546329906,2092
762,2021FP2,3,2113-03-24 22:51,0.0000464015590923855,2074
763,2021AH,7,2043-01-05 00:00,0.151243457524941,2043
765,2021TO6,50,2100-07-24 07:55,0.0858977106838146,2100
770,2006UC64,40,2069-04-18 12:57,0.000779267256993258,2069
774,2022WM6,10,2071-11-26 18:40,0.158039828518978,2071
776,2020BH3,21,2104-01-24 19:27,0.0165962075885945,2059
777,2021VP11,1.5,2038-11-09 23:37,0.0000502008032128514,2028
779,2022DO3,15,2115-02-28 09:02,0.262144,2086
780,2007UT3,25,2075-08-29 00:11,0.0000390122521423712,2062
783,2011EL40,18,2120-03-11 01:20,0.00711853980756327,2073
784,2002EM7,50,2117-03-09 06:30,0.0558677741680771,2117
785,2016CL18,60,2094-08-11 00:13,0.00022492276519281,2033
786,2005UL6,40,2084-11-04 14:39,0.00173315831159962,2084
789,2015VK1,18,2103-11-01 22:50,0.00451221055793765,2103
792,2012XH,22,2121-11-12 19:28,0.0360333392300612,2095
794,2022WC,19,2060-11-14 06:01,0.198338116270918,2060
795,2022SD29,18,2110-09-16 11:47,0.432327595911556,2110
798,2016JO38,40,2117-09-23 14:28,0.665057113622336,2099
799,2018FY2,25,2046-02-26 03:21,0.000198418927597964,2046
800,2020QJ5,15,2056-08-16 14:36,0.00186608249931386,2056
801,2008EL68,10,2027-02-25 23:58,0.00730877945077363,2025
804,2020CE1,25,2121-01-25 01:33,0.000101511221535962,2121
